"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bfoliage1",0.0538
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bfoliage2",1.3584
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bwood1",0.3743
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bwood2",1.9406
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbark1",0.0679
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbark2",1.8377
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbranches1",0.0796
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbranches2",2.0103
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bfoliage1",0.084
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bfoliage2",1.2319
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood1",0.0477
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood2",2.5147
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark1",0.0153
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark2",2.2429
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches1",0.0278
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches2",2.0839
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage1",0.1648
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage2",1.4143
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bwood1",0.0619
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bwood2",2.3821
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbark1",0.0139
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbark2",2.3282
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbranches1",0.0217
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbranches2",2.2653
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bfoliage1",0.0776
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bfoliage2",1.6995
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bwood1",0.1277
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bwood2",1.9778
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bbark1",0.0377
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bbark2",1.6064
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bbranches1",0.0254
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bbranches2",2.2884
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bfoliage1",0.055
"DBH","CA-ON","JUNI.VIR","Cupressaceae","Juniperus","virginiana","bfoliage2",1.8656
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bwood1",0.0654
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bwood2",2.2121
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bbark1",0.0114
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bbark2",2.1432
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bbranches1",0.0335
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bbranches2",1.9367
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bfoliage1",0.0499
"DBH","CA-ON, CA-QC","THUJ.OCC","Cupressaceae","Thuja","occidentalis","bfoliage2",1.7278
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bwood1",0.0997
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bwood2",2.2709
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bbark1",0.0192
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bbark2",2.2038
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bbranches1",0.0056
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bbranches2",2.6011
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bfoliage1",0.0284
"DBH","CA-ON, CA-QC","PINU.STR","Pinaceae","Pinus","strobus","bfoliage2",1.9375
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bwood1",0.072
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bwood2",2.3885
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bbark1",0.0168
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bbark2",2.2569
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bbranches1",0.0088
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bbranches2",2.5689
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bfoliage1",0.0099
"DBH","CA-NS","BETU.POP","Betulaceae","Betula","populifolia","bfoliage2",1.8985
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bwood1",0.2116
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bwood2",2.2013
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bbark1",0.0365
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bbark2",2.1133
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bbranches1",0.0087
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bbranches2",2.8927
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bfoliage1",0.0173
"DBH","CA-ON, CA-QC","CARY.SPP",NA,"Carya",NA,"bfoliage2",1.983
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bwood1",0.1929
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bwood2",1.9672
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bbark1",0.0671
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bbark2",1.5911
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bbranches1",0.0278
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bbranches2",2.1336
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bfoliage1",0.0293
"DBH","CA-ON","OSTR.VIR","Betulaceae","Ostrya","virginiana","bfoliage2",1.9502
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bwood1",0.0804
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bwood2",2.4041
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bbark1",0.0184
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bbark2",2.0703
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bbranches1",0.0079
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bbranches2",2.4155
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bfoliage1",0.0389
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK","PINU.BAN","Pinaceae","Pinus","banksiana","bfoliage2",1.729
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bwood1",0.0959
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bwood2",2.343
"DBH","CA-ON","POPU.GRA","Salicaceae","Populus","grandidentata","bbark1",0.0308
