group,a_1,a_2,a_3,a_4,b_1,b_2,b_3,b_4,c_1,c_2,c_3,c_4
softwood,-1.7196,-1.4062,1.9428,0.8862,-0.6652,-0.1796,-0.228,-0.3819,1.537,0.753,-0.1462,0.3627
hardwood,-3.596,-2.7325,4.6466,3.6937,-1.9231,-1.5205,0.0086,-0.173,2.7287,1.8614,-0.9938,-0.3566
