family,genus,a_2,b_21
,,0.00669,2.85742
Dipterocarpaceae,,0.01097,2.73663
Dipterocarpaceae,Dipterocarpus,0.00481,2.96217
Dipterocarpaceae,Shorea,0.0213,2.49004
