family,genus,species,b1,b2
Pinaceae,Pseudotsuga,menziesii,0.903563,0.989388
Pinaceae,Abies,grandis,0.90497,1
Pinaceae,Abies,concolor,0.90497,1
Pinaceae,Pinus,ponderosa,0.809427,1.016866
Pinaceae,Pinus,lambertiana,0.85904,1
Cupressaceae,Calocedrus,decurrens,0.83729,1
