"family","genus","species","a","b","cf"
"Pinaceae","Abies","concolor",-1.5759,2.2315,1.0089
"Pinaceae","Abies","grandis",-2.2106,2.4297,1
"Cupressaceae","Juniperus","osteosperma",-0.7457,1.8999,1
"Pinaceae","Pinus","jeffreyi",-3.1894,3.2244,1.0258
"Pinaceae","Tsuga","mertensiana",-0.9861,2.0975,1
"Betulaceae","Betula","papyrifera",-2.5782,2.5299,1.0179
