family,genus,a_4,b_41
,,0.01541,2.43959
Dipterocarpaceae,,0.00399,2.83670
Dipterocarpaceae,Dipterocarpus,0.00116,3.19340
Dipterocarpaceae,Shorea,0.31967,1.47380
