"genus","species","allo_var","family","a","b","cf","name","region"
"Fagus","sylvatica","br","Fagaceae",-1.72224,2.25755,1.11146407766786,"Cantabria","ES-CB"
"Fagus","sylvatica","br","Fagaceae",-1.72224,2.25755,1.11146407766786,"Navarra","ES-NC"
"Fagus","sylvatica","br","Fagaceae",-1.72224,2.25755,1.11146407766786,"Cantabria","ES-S"
"Fagus","sylvatica","bs","Fagaceae",-1.63732,2.21464,1.02744927543867,"Cantabria","ES-CB"
"Fagus","sylvatica","bs","Fagaceae",-1.63732,2.21464,1.02744927543867,"Navarra","ES-NC"
"Fagus","sylvatica","bs","Fagaceae",-1.63732,2.21464,1.02744927543867,"Cantabria","ES-S"
"Fagus","sylvatica","bbgt2lt7","Fagaceae",-3.86719,2.34551,1.05729090308455,"Cantabria","ES-CB"
"Fagus","sylvatica","bbgt2lt7","Fagaceae",-3.86719,2.34551,1.05729090308455,"Navarra","ES-NC"
"Fagus","sylvatica","bbgt2lt7","Fagaceae",-3.86719,2.34551,1.05729090308455,"Cantabria","ES-S"
"Fagus","sylvatica","bblt2","Fagaceae",-2.57396,2.84345,1.09453533963298,"Cantabria","ES-CB"
"Fagus","sylvatica","bblt2","Fagaceae",-2.57396,2.84345,1.09453533963298,"Navarra","ES-NC"
"Fagus","sylvatica","bblt2","Fagaceae",-2.57396,2.84345,1.09453533963298,"Cantabria","ES-S"
"Fraxinus",NA,"bblt2","Oleaceae",-1.69368,2.73303,1.13215291044904,"Cádiz","ES-CA"
"Fraxinus",NA,"bblt2","Oleaceae",-1.69368,2.73303,1.13215291044904,"Girona","ES-GI"
"Fraxinus",NA,"bs","Oleaceae",-1.42476,2.9494,1.05972483956782,"Cádiz","ES-CA"
"Fraxinus",NA,"bs","Oleaceae",-1.42476,2.9494,1.05972483956782,"Girona","ES-GI"
"Fraxinus",NA,"bbgt2lt7","Oleaceae",-3.96602,2.46903,1.09686268366688,"Cádiz","ES-CA"
"Fraxinus",NA,"bbgt2lt7","Oleaceae",-3.96602,2.46903,1.09686268366688,"Girona","ES-GI"
"Fraxinus",NA,"br","Oleaceae",-1.02234,2.98752,1.05012915565647,"Cádiz","ES-CA"
"Fraxinus",NA,"br","Oleaceae",-1.02234,2.98752,1.05012915565647,"Girona","ES-GI"
"Fraxinus",NA,"bbgt7","Oleaceae",-5.4098,2.84214,1.25617378579627,"Cádiz","ES-CA"
"Fraxinus",NA,"bbgt7","Oleaceae",-5.4098,2.84214,1.25617378579627,"Girona","ES-GI"
"Fraxinus",NA,"bt","Oleaceae",-1.47166,2.21865,1.02842655367236,"Cádiz","ES-CA"
"Fraxinus",NA,"bt","Oleaceae",-1.47166,2.21865,1.02842655367236,"Girona","ES-GI"
"Ilex","canariensis","bt","Aquifoliaceae",-0.637183,2.96456,1.0260066551228,"Santa Cruz de Tenerife","ES-TF"
"Ilex","canariensis","bblt2","Aquifoliaceae",-1.45821,2.76279,1.05260885361421,"Santa Cruz de Tenerife","ES-TF"
"Ilex","canariensis","bbgt7","Aquifoliaceae",-2.54028,2.75008,1.01122344251892,"Santa Cruz de Tenerife","ES-TF"
"Ilex","canariensis","bbgt2lt7","Aquifoliaceae",-1.46449,2.42586,1.18564495610685,"Santa Cruz de Tenerife","ES-TF"
"Ilex","canariensis","bs","Aquifoliaceae",-1.17012,2.93218,1.04618710730711,"Santa Cruz de Tenerife","ES-TF"
"Juniperus","oxycedrus","bt","Cupressaceae",-0.520337,2.29201,1.04939761931028,"Málaga","ES-MA"
"Juniperus","oxycedrus","br","Cupressaceae",-2.2799,2.70033,1.08907903244403,"Málaga","ES-MA"
"Juniperus","phoenicea","br","Cupressaceae",-1.10127,2.60599,1.05722034269011,"Málaga","ES-MA"
"Juniperus","phoenicea","bt","Cupressaceae",-0.605689,2.69417,1.00012568255539,"Málaga","ES-MA"
"Juniperus","thurifera","bbgt7","Cupressaceae",-13.4535,2.6002,1.11372078909856,"Guadalajara","ES-GU"
"Juniperus","thurifera","br","Cupressaceae",-1.68253,2.73984,1.04653520105121,"Guadalajara","ES-GU"
"Juniperus","thurifera","bf","Cupressaceae",-2.48528,2.68286,1.05105765336404,"Guadalajara","ES-GU"
"Juniperus","thurifera","bbgt2lt7","Cupressaceae",-4.31675,2.38243,1.05763909899457,"Guadalajara","ES-GU"
"Juniperus","thurifera","bblt2","Cupressaceae",-2.4053,2.68286,1.05107523498286,"Guadalajara","ES-GU"
"Juniperus","thurifera","bs","Cupressaceae",-1.89714,2.95148,1.02030860740279,"Guadalajara","ES-GU"
"Juniperus","thurifera","bt","Cupressaceae",-1.48238,2.03163,1.02041616730943,"Guadalajara","ES-GU"
