"genus","species","allo_var","family","a","b","cf","name","region"
"Quercus","pyrenaica","bt","Fagaceae",-2.59695,2.53453,1.03105556366171,"La Rioja","ES-RI"
"Quercus","pyrenaica","bt","Fagaceae",-2.59695,2.53453,1.03105556366171,"Madrid","ES-M"
"Quercus","pyrenaica","bt","Fagaceae",-2.59695,2.53453,1.03105556366171,"Segovia","ES-SG"
"Quercus","pyrenaica","bt","Fagaceae",-2.59695,2.53453,1.03105556366171,"Cáceres","ES-CC"
"Quercus","pyrenaica","bbgt2lt7","Fagaceae",-1.97519,2.77301,1.13146015713434,"La Rioja","ES-LO"
"Quercus","pyrenaica","bbgt2lt7","Fagaceae",-1.97519,2.77301,1.13146015713434,"La Rioja","ES-RI"
"Quercus","pyrenaica","bbgt2lt7","Fagaceae",-1.97519,2.77301,1.13146015713434,"Madrid","ES-M"
"Quercus","pyrenaica","bbgt2lt7","Fagaceae",-1.97519,2.77301,1.13146015713434,"Segovia","ES-SG"
"Quercus","pyrenaica","bbgt2lt7","Fagaceae",-1.97519,2.77301,1.13146015713434,"Cáceres","ES-CC"
"Quercus","pyrenaica","bblt2","Fagaceae",-4.85139,2.38766,1.17172848477165,"La Rioja","ES-LO"
"Quercus","pyrenaica","bblt2","Fagaceae",-4.85139,2.38766,1.17172848477165,"La Rioja","ES-RI"
"Quercus","pyrenaica","bblt2","Fagaceae",-4.85139,2.38766,1.17172848477165,"Madrid","ES-M"
"Quercus","pyrenaica","bblt2","Fagaceae",-4.85139,2.38766,1.17172848477165,"Segovia","ES-SG"
"Quercus","pyrenaica","bblt2","Fagaceae",-4.85139,2.38766,1.17172848477165,"Cáceres","ES-CC"
"Quercus","pyrenaica","br","Fagaceae",-2.4543,2.13346,1.02975107730282,"La Rioja","ES-LO"
"Quercus","pyrenaica","br","Fagaceae",-2.4543,2.13346,1.02975107730282,"La Rioja","ES-RI"
"Quercus","pyrenaica","br","Fagaceae",-2.4543,2.13346,1.02975107730282,"Madrid","ES-M"
"Quercus","pyrenaica","br","Fagaceae",-2.4543,2.13346,1.02975107730282,"Segovia","ES-SG"
"Quercus","pyrenaica","br","Fagaceae",-2.4543,2.13346,1.02975107730282,"Cáceres","ES-CC"
"Quercus","robur","br","Fagaceae",-2.46349,2.15149,1.08746981222353,"Lugo","ES-GA"
"Quercus","robur","bf","Fagaceae",-3.69674,2.73143,1.04366509379575,"Lugo","ES-GA"
"Quercus","robur","bblt2","Fagaceae",-2.47029,2.62158,1.05626503384343,"Lugo","ES-GA"
"Quercus","robur","bbgt2lt7","Fagaceae",-2.81814,2.03615,1.0578141568043,"Lugo","ES-GA"
"Quercus","robur","bt","Fagaceae",-2.30619,2.50077,1.01604093307258,"Lugo","ES-GA"
"Quercus","robur","bs","Fagaceae",-2.63669,2.49279,1.02057692292753,"Lugo","ES-GA"
"Quercus","robur","bbgt7","Fagaceae",-13.2304,2.83512,1.33241525239402,"Lugo","ES-GA"
"Quercus","suber","bt","Fagaceae",-3.36627,2.60685,1.09067837081755,"Cádiz","ES-CA"
"Quercus","suber","bf","Fagaceae",-6.05826,2.14483,1.39791260641068,"Cádiz","ES-CA"
"Quercus","suber","br","Fagaceae",-2.81593,2.07774,1.06562725189259,"Cádiz","ES-CA"
"Quercus","suber","bs","Fagaceae",-3.01942,2.25213,1.08562640122932,"Cádiz","ES-CA"
"Quercus","suber","bbgt7","Fagaceae",-6.43076,2.21136,1.17936787263363,"Cádiz","ES-CA"
"Quercus","suber","bblt2","Fagaceae",-5.33638,2.10315,1.32890296837944,"Cádiz","ES-CA"
"Quercus","suber","bbgt2lt7","Fagaceae",-3.3924,2.99526,1.14808230844386,"Cádiz","ES-CA"
