"top_dsib","bdft_rule","size_class","a","b"
6,"Scribner","small",43.128,985.5299
6,"Scribner","large",42.3487,2955.6179
8,"Scribner","small",47.1691,1502.037
8,"Scribner","large",43.9806,5207.886
6,"International 1/4-inch","small",51.8372,695.5611
6,"International 1/4-inch","large",43.3003,12182.7374
8,"International 1/4-inch","small",56.5768,1492.8328
8,"International 1/4-inch","large",45.1907,13554.3803
