family,genus,species,b_0,b_1,b_2,b_3
Pinaceae,Pinus,lambertiana,2.59959,-0.0072595,-0.00458228,-0.441557
Ericaceae,Arbutus,menziesii,2.71071,-0.00366952,-0.00455308,-0.505344
