"family","genus","species","a","b","c","d","cf"
"Pinaceae","Abies","lasiocarpa",-5.5175,2.6795,1.2805,-0.0759,1
"Pinaceae","Pinus","ponderosa",-0.6616,0.8288,0.2127,0.4145,1.0246
