"genus","species","family","a","b","cf","name","region","branch_size"
"Pinus","radiata","Pinaceae",-3.53532,2.75877,1.20897434886997,"Lugo","ES-GA","< 2 cm"
"Quercus","ilex","Fagaceae",-2.66407,2.97498,1.09870858096544,"Cáceres","ES-CC","< 2 cm"
"Quercus","faginea","Fagaceae",-3.44735,2.96728,1.05387523360596,"Guadalajara","ES-GU","< 2 cm"
"Quercus","robur","Fagaceae",-2.47029,2.62158,1.05626503384343,"Lugo","ES-GA","< 2 cm"
"Fagus","sylvatica","Fagaceae",-2.57396,2.84345,1.09453533963298,"Navarra","ES-NC","< 2 cm"
"Pinus","uncinata","Pinaceae",-2.63317,2.79147,1.11573084885704,"Girona","ES-GI","< 2 cm"
"Pinus","halepensis","Pinaceae",-2.74498,2.03748,1.02592882976775,"Albacete","ES-AB","< 2 cm"
"Abies","pinsapo","Pinaceae",-0.860115,2.36973,1.17001526400712,"Málaga","ES-MA","< 2 cm"
"Quercus","pyrenaica","Fagaceae",-4.85139,2.38766,1.17172848477165,"La Rioja","ES-LO","< 2 cm"
"Populus","euramericana","Salicaceae",-2.42121,2.60846,1.11752564293969,"Soria","ES-SO","< 2 cm"
"Pinus","pinaster","Pinaceae",-4.66658,2.38009,1.14931499409481,"Ciudad Real","ES-CR","< 2 cm"
"Fraxinus",NA,"Oleaceae",-1.69368,2.73303,1.13215291044904,"Cádiz","ES-CA","< 2 cm"
"Castanea","sativa","Fagaceae",-1.55218,2.69381,1.05369138260126,"Cáceres","ES-CC","< 2 cm"
"Juniperus","thurifera","Cupressaceae",-2.4053,2.68286,1.05107523498286,"Guadalajara","ES-GU","< 2 cm"
"Pinus","sylvestris","Pinaceae",-2.08375,2.51001,1.1507561656968,"Madrid","ES-M","< 2 cm"
"Pinus","canariensis","Pinaceae",-5.07419,2.59996,1.16888065670363,"Santa Cruz de Tenerife","ES-TF","< 2 cm"
"Populus","euramericana","Salicaceae",-2.42121,2.60846,1.11752564293969,"Salamanca","ES-SA","< 2 cm"
"Pinus","pinea","Pinaceae",-2.55308,2.93944,1.12318322598755,"Huelva","ES-H","< 2 cm"
"Quercus","canariensis","Fagaceae",-3.20772,2.66513,1.17864051830828,"Cádiz","ES-CA","< 2 cm"
"Quercus","pyrenaica","Fagaceae",-4.85139,2.38766,1.17172848477165,"Madrid","ES-M","< 2 cm"
"Quercus","ilex","Fagaceae",-2.66407,2.97498,1.09870858096544,"Madrid","ES-M","< 2 cm"
"Pinus","nigra","Pinaceae",-2.83503,2.04538,1.02246957160653,"Guadalajara","ES-GU","< 2 cm"
"Quercus","suber","Fagaceae",-5.33638,2.10315,1.32890296837944,"Cádiz","ES-CA","< 2 cm"
"Pinus","pinea","Pinaceae",-2.55308,2.93944,1.12318322598755,"Valladolid","ES-VA","< 2 cm"
"Quercus","ilex","Fagaceae",-2.66407,2.97498,1.09870858096544,"Toledo","ES-TO","< 2 cm"
