family,genus,species,a,b,c
Pinaceae,Pinus,monticola,267.4,6.2339,0.6493
Pinaceae,Larix,occidentalis,1286.04,5.4879,0.2623
Pinaceae,Pseudotsuga,menziesii,995.29,4.9996,0.249
Pinaceae,Abies,grandis,314.37,4.7162,0.4783
Pinaceae,Tsuga,heterophylla,132.12,7.1246,1.0019
Cupressaceae,Thuja,plicata,186.37,7.7294,0.752
Pinaceae,Pinus,contorta,120.21,5.493,0.9132
Pinaceae,Picea,engelmannii,559.23,4.9596,0.3337
Pinaceae,Abies,lasiocarpa,172.15,5.2187,0.6674
Pinaceae,Pinus,ponderosa,1769.17,5.7742,0.2197
