"top_dsib","bdft_rule","size_class","a","b"
6,"Scribner","small",2.0114,-2776.7987
6,"Scribner","large",2.2039,-5117.974
8,"Scribner",NA,2.2277,-7144.8882
6,"International 1/4-inch","small",2.5504,4695.6766
6,"International 1/4-inch","large",2.2644,3120.7902
8,"International 1/4-inch","small",2.5798,-8082.5339
8,"International 1/4-inch","large",2.3597,-3929.5049
