family,genus,species,b_0,b_2,b_3,b_4
Cupressaceae,Calocedrus,decurrens,4.40376,-0.00267306,-0.844515,1.08515
Fagaceae,Chrysolepis,chrysophylla,1.65623,-0.00240594,-0.355275,1.24983
