"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark2",2.3923
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches1",0.0147
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches2",2.5227
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bfoliage1",0.0591
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bfoliage2",1.6036
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bwood1",0.0334
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bwood2",2.598
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbark1",0.0114
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbark2",2.3057
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbranches1",0.0302
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbranches2",2.0927
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bfoliage1",0.1515
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bfoliage2",1.5012
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bwood1",0.0204
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bwood2",2.6974
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bbark1",0.0069
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bbark2",2.5462
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bbranches1",0.0404
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bbranches2",2.1388
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bfoliage1",0.1233
"DBH","CA-BC","PSEU.MEN","Pinaceae","Pseudotsuga","menziesii","bfoliage2",1.6636
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bwood1",0.0223
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bwood2",2.7169
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bbark1",0.0118
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bbark2",2.2733
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bbranches1",0.0336
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bbranches2",2.2123
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bfoliage1",0.0683
"DBH","CA-BC","PICE.ENG","Pinaceae","Picea","engelmannii","bfoliage2",1.8022
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bwood1",0.0424
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bwood2",2.4289
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bbark1",0.0057
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bbark2",2.4786
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bbranches1",0.0322
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bbranches2",2.1313
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bfoliage1",0.0645
"DBH","CA-BC","ABIE.AMA","Pinaceae","Abies","amabilis","bfoliage2",1.94
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bwood1",0.046
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bwood2",2.4312
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bbark1",0.0074
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bbark2",2.4442
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bbranches1",0.0086
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bbranches2",2.7326
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bfoliage1",0.0114
"DBH","CA-BC","POPU.TRI","Salicaceae","Populus","trichocarpa","bfoliage2",2.086
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bwood1",0.046
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bwood2",2.4312
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bbark1",0.0074
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bbark2",2.4442
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bbranches1",0.0086
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bbranches2",2.7326
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bfoliage1",0.0114
"DBH","CA-BC","ALNU.RUB","Betulaceae","Alnus","rubra","bfoliage2",2.086
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bwood1",0.0302
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bwood2",2.5776
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bbark1",0.0066
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bbark2",2.4433
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bbranches1",0.0739
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bbranches2",1.8342
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bfoliage1",0.0157
"DBH","CA-BC","PICE.SIT","Pinaceae","Picea","sitchensis","bfoliage2",2.3113
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bwood1",0.0141
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bwood2",2.8668
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bbark1",0.0025
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bbark2",2.8062
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bbranches1",0.0703
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bbranches2",1.9547
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bfoliage1",0.1676
"DBH","CA-BC","TSUG.HET","Pinaceae","Tsuga","heterophylla","bfoliage2",1.4339
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bwood1",0.0111
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bwood2",2.8027
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bbark1",3e-04
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bbark2",3.2721
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bbranches1",0.1158
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bbranches2",1.7196
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bfoliage1",0.1233
"DBH","CA-BC","THUJ.PLI","Cupressaceae","Thuja","plicata","bfoliage2",1.5152
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bwood1",0.0864
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bwood2",2.3715
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bbark1",0.0226
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bbark2",2.2151
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bbranches1",0.0186
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bbranches2",2.4462
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bfoliage1",0.0385
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.HWD",NA,NA,NA,"bfoliage2",1.6255
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bwood1",0.0564
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bwood2",2.4347
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bbark1",0.0153
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bbark2",2.211
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bbranches1",0.0194
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bbranches2",2.2408
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","UNKN.SWD",NA,NA,NA,"bfoliage1",0.0935
