family,genus,species,a,b
Pinaceae,Pinus,monticola,5.3004,-12.4386
Pinaceae,Larix,occidentalis,5.2554,-11.276
Pinaceae,Pseudotsuga,menziesii,5.0207,-9.8882
Pinaceae,Abies,grandis,5.1472,-10.3828
Pinaceae,Tsuga,heterophylla,4 9079,-8.0119
Cupressaceae,Thuja,plicata,5.1039,-14.5886
Pinaceae,Pinus,contorta,4.7979,-7.5469
Pinaceae,Picea,engelmannii,5.1282,-12.768
Pinaceae,Abies,lasiocarpa,4.918,-9.8747
Pinaceae,Pinus,ponderosa,5.1094,-11.9354
